Brand,Country,Purchasing Practice,Gender and Racial Equality,Sustainable Sourcing and Material,Overconsumption Waste and Circularity,Water and Chemical,Climate Change and Biodiversity,Score,Points,,,,
Next,UK,5,3,3,0,3,12,26,92.75,99.25,37%,No match,
Nike,USA,5,4,9,6,5,10,39,133.5,138.5,53%,No match,
Nine West,USA,0,0,0,0,0,0,0,1.5,3.5,1%,No match,
Nordstrom,USA,1,3,5,2,1,3,15,42.75,70.25,17%,No match,
Old Navy,USA,2,4,9,3,3,6,27,109.5,123,44%,No match,
Otto,Germany,0,0,0,2,0,2,4,44.75,49.5,18%,No match,
OVS,Italy,20,4,8,8,7,9,56,195.5,196,78%,No match,
Paris,Chile,0,3,1,4,1,1,10,50,29,20%,No match,
Patagonia,USA,7,2,5,4,0,5,23,109,138.75,44%,No match,
Pepe Jeans,Spain,0,0,0,0,0,0,0,6,0.5,2%,No match,
Pimkie,France,3,0,3,8,0,2,16,54.25,72,22%,No match,
Prada,Italy,0,2,4,1,0,9,16,44.25,46,18%,No match,
PrettyLittleThing,UK,2,2,7,2,0,9,22,70.25,49.25,28%,No match,Updated
Primark,Ireland,7,3,4,3,2,8,27,88,95,35%,No match,
Prisma,Finland,1,2,3,2,1,7,16,67.5,62.75,27%,No match,Corrected value in brand tracking doc based on questionnaire
Pull&Bear,Spain,10,5,9,7,3,11,45,107.75,92.5,43%,No match,Updated based on final review
Puma,Germany,11,1,6,2,7,16,43,146,127,58%,No match,
Quiksilver,USA,0,1,0,0,0,0,1,16.75,0.75,7%,No match,
Ralph Lauren,USA,3,6,7,2,7,13,38,124,72,50%,No match,Updated based on Wikirate comment
Reebok,USA,5,1,6,5,3,1,21,119,143,48%,No match,Updated based on FTI Brazil
REI,USA,0,2,2,2,1,2,9,42,48.5,17%,No match,
Reliance Trends,India,1,0,0,0,0,1,2,17.5,18.25,7%,No match,
Reserved,Poland,0,1,5,2,2,5,15,39.5,38,16%,No match,
REVOLVE,USA,0,0,0,0,0,0,0,7,5.5,3%,No match,
River Island,UK,0,0,9,3,0,1,13,67.25,55,27%,No match,
Romwe,China,0,0,0,0,0,0,0,5,15.25,2%,No match,
Ross Dress for Less,USA,0,3,0,0,0,2,5,16.5,0.75,7%,No match,
Roxy,USA,0,1,0,0,0,0,1,16.75,85,7%,No match,
Russell Athletic,USA,9,1,3,2,3,8,26,94.5,27,38%,No match,
s.Oliver,Germany,1,0,4,1,1,0,7,67.25,120.75,27%,No match,
Sainsbury's,UK,5,5,5,4,4,8,31,111.25,107,45%,No match,
SAINT LAURENT,France,7,2,7,6,8,14,44,116.5,33,47%,No match,
